Ref num,76ers,Bucks,Bulls,Cavaliers,Celtics,Clippers,Grizzlies,Hawks,Heat,Hornets,Jazz,Kings,Knicks,Lakers,Magic,Mavericks,Nets,Nuggets,Pacers,Pelicans,Pistons,Raptors,Rockets,Spurs,Suns,Thunder,Timberwolves,Trail Blazers,Warriors,Wizards
56,1,3,1,2,0,3,0,1,0,0,0,1,7,0,3,1,0,0,0,9,0,0,0,1,1,1,0,1,2,2
58,0,4,0,0,1,6,0,1,0,0,0,2,4,0,5,1,0,1,5,0,2,2,1,1,0,0,0,1,4,0
59,0,1,1,0,0,2,0,1,0,2,0,6,2,2,0,0,0,1,0,1,1,1,2,0,2,2,5,0,1,2
60,0,0,1,0,0,2,1,2,4,2,0,4,1,0,0,2,0,0,2,1,1,1,1,0,1,0,0,2,0,0
61,1,1,1,0,0,2,1,0,0,2,0,0,3,0,0,3,1,1,1,2,0,1,0,3,2,3,5,0,5,0
63,0,1,0,1,1,2,1,0,1,1,0,0,8,0,0,2,1,4,0,3,2,1,0,2,4,1,0,0,0,0
64,0,0,1,5,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2,1,0
66,0,2,0,0,0,1,0,1,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
68,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,1,0,0,1,3,3,1,0,3,1,1,0,2,1,1,1,1,1,0,2,2,0,2,0,0,0,0,1,1,1
71,0,1,0,2,0,2,2,1,0,0,1,2,1,1,1,0,2,3,5,0,1,0,0,0,1,0,0,1,6,1
72,0,3,0,0,0,3,3,0,2,0,0,7,1,1,2,1,0,1,2,0,0,0,2,0,3,0,4,2,1,1
73,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,4,2,1,0,4,0,2,0,0,1,0
74,0,1,0,1,0,1,1,0,0,2,2,0,0,0,11,0,0,3,1,2,0,0,0,1,2,2,1,1,0,0
75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,0,2,1,1,0,2,0,0,3,0,2,0,3,1,1,0,0,2,1,0,1,1,3,0,1,1,0,0,0,1
