Nick Buchert,2,8,0.25,76ers
Nick Buchert,6,8,0.75,Bucks
Nick Buchert,4,8,0.5,Bulls
Nick Buchert,1,6,0.16666666666666666,Cavaliers
Nick Buchert,3,4,0.75,Celtics
Nick Buchert,2,4,0.5,Clippers
Nick Buchert,6,5,1.2,Grizzlies
Nick Buchert,4,7,0.5714285714285714,Hawks
Nick Buchert,2,6,0.3333333333333333,Heat
Nick Buchert,2,8,0.25,Hornets
Nick Buchert,0,4,0.0,Jazz
Nick Buchert,2,7,0.2857142857142857,Kings
Nick Buchert,6,12,0.5,Knicks
Nick Buchert,2,6,0.3333333333333333,Lakers
Nick Buchert,3,5,0.6,Magic
Nick Buchert,1,6,0.16666666666666666,Mavericks
Nick Buchert,1,8,0.125,Nets
Nick Buchert,0,5,0.0,Nuggets
Nick Buchert,5,7,0.7142857142857143,Pacers
Nick Buchert,0,8,0.0,Pelicans
Nick Buchert,2,7,0.2857142857142857,Pistons
Nick Buchert,1,6,0.16666666666666666,Raptors
Nick Buchert,6,7,0.8571428571428571,Rockets
Nick Buchert,1,10,0.1,Spurs
Nick Buchert,4,9,0.4444444444444444,Suns
Nick Buchert,2,10,0.2,Thunder
Nick Buchert,1,7,0.14285714285714285,Timberwolves
Nick Buchert,3,7,0.42857142857142855,Trail Blazers
Nick Buchert,3,5,0.6,Warriors
Nick Buchert,1,6,0.16666666666666666,Wizards
Sean Wright,0,6,0.0,76ers
Sean Wright,6,8,0.75,Bucks
Sean Wright,1,8,0.125,Bulls
Sean Wright,6,7,0.8571428571428571,Cavaliers
Sean Wright,4,7,0.5714285714285714,Celtics
Sean Wright,2,9,0.2222222222222222,Clippers
Sean Wright,8,8,1.0,Grizzlies
Sean Wright,1,10,0.1,Hawks
Sean Wright,3,7,0.42857142857142855,Heat
Sean Wright,8,9,0.8888888888888888,Hornets
Sean Wright,1,7,0.14285714285714285,Jazz
Sean Wright,5,7,0.7142857142857143,Kings
Sean Wright,0,6,0.0,Knicks
Sean Wright,2,5,0.4,Lakers
Sean Wright,1,6,0.16666666666666666,Magic
Sean Wright,1,4,0.25,Mavericks
Sean Wright,3,8,0.375,Nets
Sean Wright,1,7,0.14285714285714285,Nuggets
Sean Wright,4,4,1.0,Pacers
Sean Wright,0,4,0.0,Pelicans
Sean Wright,5,6,0.8333333333333334,Pistons
Sean Wright,3,7,0.42857142857142855,Raptors
Sean Wright,2,6,0.3333333333333333,Rockets
Sean Wright,0,6,0.0,Spurs
Sean Wright,2,5,0.4,Suns
Sean Wright,4,9,0.4444444444444444,Thunder
Sean Wright,1,3,0.3333333333333333,Timberwolves
Sean Wright,2,5,0.4,Trail Blazers
Sean Wright,3,5,0.6,Warriors
Sean Wright,2,5,0.4,Wizards
Kane Fitzgerald,1,4,0.25,76ers
Kane Fitzgerald,0,7,0.0,Bucks
Kane Fitzgerald,2,6,0.3333333333333333,Bulls
Kane Fitzgerald,3,6,0.5,Cavaliers
Kane Fitzgerald,8,13,0.6153846153846154,Celtics
Kane Fitzgerald,4,8,0.5,Clippers
Kane Fitzgerald,2,7,0.2857142857142857,Grizzlies
Kane Fitzgerald,3,6,0.5,Hawks
Kane Fitzgerald,4,6,0.6666666666666666,Heat
Kane Fitzgerald,2,3,0.6666666666666666,Hornets
Kane Fitzgerald,1,8,0.125,Jazz
Kane Fitzgerald,4,4,1.0,Kings
Kane Fitzgerald,7,9,0.7777777777777778,Knicks
Kane Fitzgerald,5,8,0.625,Lakers
Kane Fitzgerald,1,8,0.125,Magic
Kane Fitzgerald,4,9,0.4444444444444444,Mavericks
Kane Fitzgerald,10,10,1.0,Nets
Kane Fitzgerald,3,7,0.42857142857142855,Nuggets
Kane Fitzgerald,3,9,0.3333333333333333,Pacers
Kane Fitzgerald,3,5,0.6,Pelicans
Kane Fitzgerald,4,7,0.5714285714285714,Pistons
Kane Fitzgerald,0,10,0.0,Raptors
Kane Fitzgerald,5,5,1.0,Rockets
Kane Fitzgerald,1,7,0.14285714285714285,Spurs
Kane Fitzgerald,6,7,0.8571428571428571,Suns
Kane Fitzgerald,4,8,0.5,Thunder
Kane Fitzgerald,2,6,0.3333333333333333,Timberwolves
Kane Fitzgerald,1,5,0.2,Trail Blazers
Kane Fitzgerald,5,6,0.8333333333333334,Warriors
Kane Fitzgerald,2,8,0.25,Wizards
Tony Brown,2,5,0.4,76ers
Tony Brown,0,4,0.0,Bucks
Tony Brown,1,6,0.16666666666666666,Bulls
Tony Brown,4,6,0.6666666666666666,Cavaliers
Tony Brown,1,7,0.14285714285714285,Celtics
Tony Brown,4,6,0.6666666666666666,Clippers
Tony Brown,5,9,0.5555555555555556,Grizzlies
Tony Brown,3,6,0.5,Hawks
Tony Brown,5,6,0.8333333333333334,Heat
Tony Brown,3,6,0.5,Hornets
Tony Brown,0,3,0.0,Jazz
Tony Brown,1,5,0.2,Kings
Tony Brown,4,8,0.5,Knicks
Tony Brown,0,4,0.0,Lakers
Tony Brown,3,6,0.5,Magic
Tony Brown,7,8,0.875,Mavericks
Tony Brown,2,9,0.2222222222222222,Nets
Tony Brown,2,5,0.4,Nuggets
Tony Brown,1,7,0.14285714285714285,Pacers
Tony Brown,4,6,0.6666666666666666,Pelicans
Tony Brown,2,6,0.3333333333333333,Pistons
Tony Brown,4,7,0.5714285714285714,Raptors
Tony Brown,9,6,1.5,Rockets
Tony Brown,2,7,0.2857142857142857,Spurs
Tony Brown,3,4,0.75,Suns
Tony Brown,3,7,0.42857142857142855,Thunder
Tony Brown,0,6,0.0,Timberwolves
