Jersey Number,Bias,Years Experience,Home Fouls,Away Fouls,Home Variance,Away Variance,me Adjusted Fouls,ay Adjusted Foul,Bias,Total Adjusted
60,-0.290322581,8,20.38709677,20.09677419,15.18418314,9.914672216,6.93E+00,5.97E+00,,
61,0.866666667,18,20.06666667,20.93333333,18.66222222,21.86222222,7.09E+00,7.50E+00,,
62,0.352941176,1,18.58823529,18.94117647,11.34948097,10.47750865,5.38E+00,6.20E+00,,
63,-0.466666667,21,19.16666667,18.7,19.87666667,12.73888889,5.80E+00,5.33E+00,,
64,0.166666667,4,21.1,21.26666667,19.72888889,16.42333333,7.46E+00,8.26E+00,,
66,1.322580645,10,20.16129032,21.48387097,16.24973985,12.07075963,6.86E+00,7.92E+00,,
67,0.666666667,2,19.66666667,20.33333333,8.222222222,8.888888889,5.88E+00,7.52E+00,,
68,1.076923077,2,19.80769231,20.88461538,18.02514793,13.07840237,6.18E+00,7.90E+00,,
70,1.285714286,2,17.71428571,19,24.28571429,10.48979592,4.15E+00,6.08E+00,,
71,-0.666666667,20,19.2,18.53333333,19.51555556,16.89333333,6.22E+00,4.61E+00,,
72,2.411764706,7,19,21.41176471,19.94809689,14,5.39E+00,8.45E+00,,
73,0.964285714,7,19.64285714,20.60714286,14.45280612,10.08673469,6.63E+00,7.24E+00,,
74,0.6,10,19.46666667,20.06666667,18.72888889,14.91555556,6.02E+00,6.78E+00,,
76,1.777777778,3,20,21.77777778,19.28395062,12.44444444,7.49E+00,9.58E+00,,
77,-0.257142857,7,20.08571429,19.82857143,13.45632653,13.79265306,6.96E+00,6.14E+00,,
